38,Girls Will Be Girls,Richard Day,440,12,English,"Comedy, Romance","A hilarious comedy about three actresses at various places in the Hollywood food chain who navigate love, aging, and ambition. Oh yeah -- all three actresses are played by men.  (IFC Films)"
39,Italian for Beginners,Lone Scherfig,440,12,English,"Drama, Comedy, Romance",Follows the stories of six insecure singles whose lives interweave one dreary Copenhagen winter.  (Miramax Films)
40,Jump Tomorrow,Joel Hopkins,440,12,English,"Drama, Comedy, Romance","George, a shy and introverted young man from Nigeria, is following tradition leading to an arranged marriage.  He meeets and falls in love with a beautiful girl, who is also about to be married, and begins to question his future."
41,Dolls,Takeshi Kitano,440,13,Japanese,"Drama, Romance",Three contemporary stories inspired by the everlasting emotions expressed by the precious dolls of Bunraku theater. Three stories delicately intertwined by the beauty of sadness. Three stories of undying love.  (Palm Pictures)
42,The Crash Reel,Lucy Walker,440,13,English,"Biography, Sport, Family, Documentary","Fifteen years of footage show the epic rivalry between half-pipe legends Shaun White and Kevin Pearce, childhood friends who become number one and two in the world leading up to the Vancouver Winter Olympics, pushing one another to ever more dangerous tricks, until Kevin crashes on a Park City half-pipe, barely surviving. As Kevin recovers from his injury, Shaun wins Gold. Now all Kevin wants to do is get on his snowboard again, even though medics and family fear this could kill him."
43,Christmas in the Clouds,Kate Montgomery,440,13,English,"Comedy, Romance, Family","The first romantic comedy set in Indian Country, with a nod to the screwball comedies of Howard Hawks and Frank Capra, Christmas in the Clouds is a lighthearted tale of love, bingo, tribal enterprise, and mistaken identity.  (Majestic Films)"
44,My Architect,Nathaniel Kahn,440,13,English,"Biography, Documentary","A tale of love and art, betrayal and forgiveness -- in which the illegitimate son of  legendary architect Louis I. Kahn undertakes a five year, worldwide exploration to understand his long-dead father.  (New Yorker Films)"
45,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",Errol Morris,440,5,English,"Biography, Documentary","A tale of ignorance, self-deception, and vanity.  Documentarian Errol Morris sews together a patchwork of diverse viewpoints that seek to uncover the central mystery behind Fred Leuchter's motivations.  (Lions Gate Films)"
46,Pauline and Paulette,Lieven Debrauwer,440,5,Dutch,"Drama, Comedy",A delightfully bittersweet story of four elderly sisters and their relationship with each other.  (Sony Pictures Classics)
47,The War Within,Joseph Castelo,440,5,English,Drama,"The story of Hassan, a Pakistani engineering student in Paris who is apprehended by western intelligence services for suspected terrorist activities. After his interrogation, Hassan undergoes a radical transformation and embarks upon a terrorist mission, entering the United States to join a cell based in New York City.  (Magnolia Pictures)"
48,Sound and Fury,Josh Aronson,440,5,English,Documentary,Takes viewers inside the seldom seen world of the deaf to witness a painful family struggle over a controversial medical technology called the cochlear implant.  (Next Wave Films)
49,After Innocence,Jessica Sanders,440,5,English,Documentary,This documentary tells the dramatic and compelling story of the exonerated -- innocent men wrongfully imprisoned for decades and then released after DNA evidence proved their innocence. The film focuses on the gripping story of seven men and their emotional journey back into society and efforts to rebuild their lives.  (New Yorker Films)
50,A Good Baby,Katherine Dieckmann,440,5,English,Drama,"In rural North Carolina, an abandoned baby becomes a pawn in a complicated relationship involving a young man (Thomas) who finds her, a thick-skinned woman who takes a liking to him, and a traveling salesman (Strathairn) who claims the baby is his lost child."
51,Injeong sajeong bol geot eobtda,Myung-se Lee,440,5,Korean,"Action, Thriller, Comedy, Crime","After a gang murder, a detective force of seven men must hunt down the killer and leader of a massive drug cartel."
52,Godzilla,Ishirô Honda,434,40,Japanese,"Sci-Fi, Drama, Thriller, Horror","Never before released in the U.S., this is the original, uncut Japanese version of Godzilla directed by sci-fi master Ishiro Honda."
53,Sophie Scholl: The Final Days,Marc Rothemund,434,40,German,"Biography, Drama, History, Crime, War","The true story of Germany's most famous anti-Nazi heroine is brought to thrilling life in Germany's official Foreign Language Film selection for the 2005 Academy Awards.  Sophie Scholl stars Julia Jentsch in a luminous performance as the young coed-turned-fearless activist. Armed with long-buried historical records of her incarceration, director Marc Rothemund expertly re-creates the last six days of Sophie Scholl's life: a heart-stopping journey from arrest to interrogation, trial and sentence.  (Zeitgeist Films)"
54,Friday After Next,Marcus Raboy,434,43,English,Comedy,"In this third installment in the hit ""Friday"" film series, Craig (Ice Cube) and Day-Day (Epps) are back in the old neighborhood and ready for Christmas. (New Line Productions)"
55,Blood Simple.,Ethan Coen,434,40,English,"Drama, Thriller, Crime",The restored and re-edited director's cut of the Coen Brothers' 1984 crime thriller stars Hedaya as a jealous bar owner who hires a nefarious detective (Walsh) to kill his young wife (McDormand).
56,Weekend,Andrew Haigh,434,47,English,Drama,"After meeting one lonely Friday night at a bar, Russell and Glen find themselves caught up in an lost weekend full of sex, drugs, and intimate conversation. Although they have conflicting ideas of what it is they want from life and certainly how to get it, they form a startling emotional connection that will resonate throughout their lives. (Sundance Selects)"
57,New Waterford Girl,Allan Moyle,434,45,English,Comedy,"Two teenage girls in a small Nova Scotia town, one a local who feels suffocated by the town and the other recently transplanted from the Bronx, cook up a plan to esape the area to pursue their dreams."
58,The Manchurian Candidate,John Frankenheimer,434,40,English,"Drama, Mystery, Thriller",John Frankenheimer's gripping political thriller about a group of American soldiers who are captured and brainwashed into becoming sleeper agents. (MGM)
59,Who Killed the Electric Car?,Chris Paine,434,62,English,Documentary,"This documentary chronicles the life and mysterious death of the GM EV1, examining its cultural and economic ripple effects and how they reverberated through the halls of government and big business.  (Sony Pictures Classics)"
60,The Insider,Michael Mann,434,61,English,"Biography, Drama, Thriller","This is the true story of Jeffrey Wigand (Crowe), the tobacco executive-turned-whistleblower and his relationship with ""60 Minutes"" producer Lowell Bergman (Pacino)."
61,In the Name of the Father,Jim Sheridan,434,50,English,"Biography, Drama",Academy Award winner Daniel Day-Lewis gives an impassioned performance in this riveting drama that mirrors one man's 15-year struggle and ultimate triumph over a terrible injustice.  (Universal Studios)
62,Show Me Love,Lukas Moodysson,434,52,Swedish,"Drama, Romance","In a small Swedish town, Elin (Dahlstrom) is a popular, pretty high school debutante, and Agnes (Liljeberg) is one of the least popular girls in school.  On a dare, Elin kisses Agnes to see if Agnes really is a ""lesbian"" and her life is transformed.  Elin discovers that she has been repressing something that was innately there all the time, and the two girls fall in love.  [Sonet Films]"
63,The Sea Inside,Alejandro Amenábar,434,60,Spanish,"Biography, Drama","Based on the profoundly moving true story that captured the world's attention, The Sea Inside is about Spaniard Ramon Sampedro (Bardem), who fought a 30-year campaign to win the right to end his life with dignity.  The film is the story of Ramon's relationships with two women: Julia (Rueda), a lawyer who supports his cause, and Rosa (Duenas), a local woman who wants to convince him that life is worth living.  (Fine Line Features)"
64,The Band's Visit,Eran Kolirin,434,25,English,"Drama, Comedy, Music","The Alexandria Ceremonial Police Orchestra arrives in Israel to play at the opening of an Arab Cultural
Center. Dressed in full regalia and observing all military police protocol, the members of the orchestra are at a pivotal time in their careers. It’s not just the political nature of an Arab military police band playing
traditional Arab music in Israel that makes this event so important; budget cuts and many reorganizations
have threatened the continued existence of the Orchestra. Faced with the heavy burden of this assignment, the stoic conductor Tewfiq is determined not to foul their excursion. Despite all Tewfiqs efforts, it’s not long before problems arise. The band arrives at the airport with no one there to greet them. Stranded and unable able to contact their Israeli hosts or the Egyptian consulate for help, Tewfiq decides that the Orchestra will persevere with its assignment and orders, and designates Khaled, a sauve young ladies man, to ask for directions. Khaled and the station agent struggle in English, Arabic and Hebrew to communicate, but despite their best efforts, the Orchestra is sent to the outskirts of a small forgotten Israeli town in the desert. (Sony Classics)"
65,The Player,Robert Altman,434,23,English,"Drama, Mystery, Thriller, Comedy, Romance, Crime",Robert Altman takes on the Hollywood studio system.
66,Children Underground,Edet Belzberg,434,26,Romanian,Documentary,"This political documentary focuses on homeless children living in the subway tunnels of Bucharest, Romania."
67,Mean Machine,Barry Skolnick,434,24,English,"Drama, Sport, Comedy","This British remake of 1974's ""The Longest Yard"" is set in a rough-and-tumble British prison, where murderers, thieves and assorted madmen are locked away.  One inmate is about to lead them all in the ultimate battle of their degenerate lives -- but no one could have guessed it would be a soccer match!  (Paramount Classics)"
68,Control,Nimród Antal,434,26,Hungarian,"Drama, Thriller, Romance, Crime","The massive labyrinthine netherworld that is the Budapest subway system, provides the stunning setting for Kontroll, a high-style, high-speed romantic thriller in which the lives of assorted outcasts, lovers and dreamers intersect and collide. (ThinkFilm)"
69,Dark Blue World,Jan Sverák,434,25,English,"Action, Drama, Romance, War","An epic romantic drama about two Czech pilots, serving together in the U.K.'s Royal Air Force during World War II, who fall in love with the same woman."
70,To Be and to Have,Nicolas Philibert,434,25,French,"Family, Documentary","Inspired by the French phenomenon of 'single-class' schools, this film charts the life of a small one-class village school over the course of one academic year, and takes a warm and serene look at primary education in the French heartlands.  (New Yorker Films)"
71,Army of Darkness,Sam Raimi,430,109,English,"Action, Fantasy, Horror, Comedy, Romance","Bruce Campbell stars as Ash, a hapless housewares clerk time-warped back to the Dark Ages by the demonic power of the Necronomicon. Now armed with only a '73 Oldsmobile, his trusty chainsaw and a 12-gauge double-barreled S-Mart shotgun, our knuckleheaded hero must battle vicious she-bitches, a diabolical Evil Ash and the relentless hordes of the medieval dead in the most outrageously spectacular horror comedy every made. (Anchor Bay Entertainment)"
72,Trainspotting,Danny Boyle,430,152,English,"Drama, Crime","Renton (McGregor), a twenty-something junkie, is deeply immersed in the Edinburgh drug scene. He must choose to clean up and get out, or continue following the allure of the drugs and the influence of friends."
73,The Painted Veil,John Curran,430,110,English,"Drama, Romance","Based on the novel by W. Somerset Maugham and set against the visually stunning backdrop of China during one of its most dramatic periods of upheaval, The Painted Veil tells a unique love story of an estranged husband and wife who find redemption and unexpected grace in a very unlikely place.  [Warner Independent Pictures]"
74,Unforgiven,Clint Eastwood,430,106,English,"Drama, Crime, Western","In this Academy Award winning western, Eastwood and Freeman are down-on-their-luck outlaws who pick up their guns one last time in order to collect a bounty offered by the vengeful prostitutes of remote Big Whiskey, Wyoming."
75,Peter Pan,P.J. Hogan,430,111,English,"Adventure, Fantasy, Romance, Family","A live-action version of Peter Pan with all of the wonder, danger and excitement of J.M. Barrie's original vision.  (Universal Pictures)"
76,Indie Game: The Movie,James Swirsky,430,88,English,Documentary,"After two years of painstaking work, designer Edmund McMillen and programmer Tommy Refenes await the release of their first major game for Xbox, Super Meat Boy—the adventures of a skinless boy in search of his girlfriend, who is made of bandages. At PAX, a major video-game expo, developer Phil Fish unveils his highly anticipated, four-years-in-the-making FEZ. Jonathan Blow considers beginning a new game after creating Braid, one of the highest-rated games of all time. First-time filmmaking duo Lisanne Pajot and James Swirsky capture the emotional journey of these meticulously obsessive artists who devote their lives to their interactive art. Four developers, three games, and one ultimate goal— to express oneself through a video game. (BlinkWorks Media)"
77,The Naked Gun: From the Files of Police Squad!,David Zucker,430,68,English,"Action, Comedy, Romance, Crime","Leslie Nielsen stars as Police Squad's own granite-jawed, rock-brained cop Frank Drebin, who bumbles across a mind-control scheme to assassinate Queen Elizabeth. Priscilla Presley, O.J. Simpson, a stuffed beaver, two baseball teams and an odd assortment of others join the wacko goings-on and blow the laugh-o-meter to smithereens. (Paramount)"
78,How to Train Your Dragon 2,Dean DeBlois,430,214,English,"Action, Adventure, Fantasy, Comedy, Animation, Family","It's been five years since Hiccup and Toothless successfully united dragons and vikings on the island of Berk. While Astrid, Snoutlout and the rest of the gang are challenging each other to dragon races (the island's new favorite contact sport), the now inseparable pair journey through the skies, charting unmapped territories and exploring new worlds. When one of their adventures leads to the discovery of a secret ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace. Now, Hiccup and Toothless must unite to stand up for what they believe while recognizing that only together do they have the power to change the future of both men and dragons."
79,Kicking & Screaming,Jesse Dylan,430,180,English,"Sport, Comedy, Family","Welcome to that cutthroat, hyper-competitive, do-or-die sport of...little league soccer, a world where kids and their victory-crazed suburban parents find themselves on a high-stakes collision course-all in the name of good, clean, athletic fun.  (Universal)"
80,The Shining,Stanley Kubrick,430,268,English,"Thriller, Horror","A married couple with a small son are employed to look after a resort hotel high in the Colorado mountains. As a result, they are the sole occupants during the long winter. The hotel manager warns them not to accept the job because of a tragedy that occurred during the winter of 1970. (Warner Bros.)"
81,A Walk to Remember,Adam Shankman,430,191,English,"Drama, Romance","Set in the lowlands of North Carolina, this story follows the rite of passage of a jaded, aimless high school senior (West) as he falls in love with a guileless young woman (Moore) he and his friends once scorned.  (Warner Brothers)"
82,Jurassic Park,Steven Spielberg,430,296,English,"Adventure, Sci-Fi, Thriller","Featuring incredible special effects and action-packed drama, Jurassic Park takes you to a remote island where an amazing theme park with living dinosaurs is about to turn deadly, as five people must battle to survive among the prehistoric predators. (Universal Pictures)"
83,Full Metal Jacket,Stanley Kubrick,430,198,English,"Action, Drama, War",The story of an 18-year-old marine recruit named Private Joker - from his carnage-and-machismo boot camp to his climactic involvement in the heavy fighting in Hue during the 1968 Tet Offensive. [Warner Bros.]
84,"Monsters, Inc.",David Silverman,430,283,English,"Adventure, Fantasy, Comedy, Animation, Family","The Academy Award-winning creators of ""Toy Story"" open the door to a frightfully funny world of monsters and mayhem and scare up lots of laughs in their new movie, Monsters, Inc.  [Disney/Pixar]"
85,Noi the Albino,Dagur Kári,430,9,French,Drama,An intelligent 17-year-old boy dreams of escaping from his hometown in the remote fjord regions of Northern Iceland.
86,Rosetta,Jean-Pierre Dardenne,430,9,French,Drama,"This film follows a young and impulsive Belgian girl, Rosetta (Émilie Dequenne),  who tries to establish an independent life and will do anything to maintain a job."
87,Whisky,Juan Pablo Rebella,430,8,Spanish,"Drama, Comedy","Set in Uruguay's gray and quiet port of Montevideo, Whisky presents a tale of self-realization and discovery.  (Global Film Initiative)"
88,Ultimo tango a Parigi,Bernardo Bertolucci,430,8,English,"Drama, Romance","Jeanne, a young Parisienne, meets Paul, an American expatriate mourning his wife's recent suicide and have an affair."
89,Divided We Fall,Jan Hrebejk,430,9,German,"Drama, Comedy, War","Based on a true story, this film is set in a small Czech town occupied by German forces during the last years of the Second World War.  (Sony Pictures Classics)"
90,Aberdeen,Hans Petter Moland,430,8,English,Drama,"A modern, raw, pitch-black comedy about a young woman who travels from Scotland to Norway to find her estranged, alcoholic father and bring him home.  (First Run Features)"
91,Trucker,James Mottern,430,9,English,Drama,"Diane Ford, a vivacious and successful independent truck driver, leads a carefree life of long-haul trucking, one night stands and all-night drinking with Runner until the evening her estranged 11-year-old son, Peter is unexpectedly dropped at her door. (Monterey Media)"
92,Cool and Crazy,Knut Erik Jensen,430,9,Norwegian,"Music, Documentary","A documentary about the lives and loves of the male voice choir in the small fishing village of Berlevag, Norway."
93,The Ninth Day,Volker Schlöndorff,430,9,German,"Drama, War","The agonizing tale, based on a true story, of a young Catholic Priest who is incarcerated in the Dachau concentration camp."
94,Captain Pantoja and the Special Services,Francisco J. Lombardi,430,10,Spanish,"Drama, Comedy",An army captain is commissioned to establish a prostitution service to placate the needs of soldiers posted in the Amazon.
95,The Lost Skeleton of Cadavra,Larry Blamire,430,10,English,"Sci-Fi, Horror, Comedy","An homage to the low-budget science fiction movies of the 1950's and early 60's, this story begins when Dr. Paul Armstrong (Blamire) and his lovely wife Betty (Masterson) head into the mountains in search of a recently fallen meteor containing the rare element atmosphereum."
96,My Way,Je-gyu Kang,430,10,Russian,"Action, Drama, History, War","After emerging as bitter rivals and enemies as young marathon runners, Korean native Kim Jun-shik and Japanese aristocrat Tatsuo Hasegawa both find themselves in the Japanese army, fighting the Chinese and Soviets in a bloody battle. Jun-shik is there under duress, while Tatsuo is a powerful colonel. After both are taken prisoner by the Soviets, their mutual hatred and mistrust boils over into a violence that is only stopped by the continuing horror of the war. Forced to fight for the Soviets, the two eventually rely on each other for survival, making it to Germany, where they are in turn separated and forced to fight for the Nazis. They meet again at Normandy Beach, both unlikely survivors, bonded together by history as they struggle to survive one more terrible battle as the Allies arrive on D-Day. (CJ Entertainment)"
97,Nanking,Bill Guttentag,430,9,English,"History, War, Documentary","Nanking is a powerful reminder of the heartbreaking toll that war takes on the innocent, and a testament to the courage and conviction of a few individuals determined to act in the face of evil. The film tells the story of the Japanese invasion of Nanking, China in the early days of World War II and focuses on the efforts of a small group of unarmed Westerners who established a safety zone where over 200,000 Chinese found refuge. The events of the film are told through deeply moving interviews with Chinese survivors, archival footage, and the chilling testimonies of Japanese soldiers, interwoven with staged readings of the Westerners' letters and diaries as performed by Woody Harrelson, Mariel Hemingway, Jurgen Prochnow, and Stephen Dorff, among others. (THINKFilm)"
98,Matando Cabos,Alejandro Lozano,430,9,Spanish,"Action, Adventure, Thriller, Comedy, Crime",A dark comedy about a kidnapping scheme in Mexico City.
99,Ping Pong Playa,Jessica Yu,430,9,English,"Sport, Comedy, Family","Christopher ""C-dub"" Wang is a suburban guy who sports an urban swagger, waxes political on all things Asian American, and clings to pipe dreams of a career as a pro basketball player. C-dub lives at home, works a dead-end job, and squirms in the shadow of his older brother, Michael, a doctor and ping pong champion. With a family-run store devoted to all things ping pong, the Wangs' entire world revolves around the sport. But when the Wang family livelihood is threatened by a rival ping pong player's attempts to lure the kids away, C-dub begins to take things more seriously. With the National Golden Cock Tournament coming up and an injured Michael unable to defend his title, C-dub must become the player he pretends to be and defend his family's ping pong dynasty. (IFC Films)"
